"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C7","100uF","~","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","2",""
"C2,C3,C4,C5","100nF","~","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","4",""
"C6","130pF","~","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","1",""
"D1","LED","~","LED_THT:LED_D5.0mm","1",""
"D2","1N4148","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","1",""
"J1","Audio","","LocalFP:SWITCHCRAFT_PJRAN1X1U04X","1",""
"JP1","Speaker On/Off","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"LS1","Speaker","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"P1","Cosmac VIP Edge","","LocalFP:CosmacVIPEdge","1",""
"Q1","BC327","http://www.onsemi.com/pub_link/Collateral/BC327-D.PDF","Package_TO_SOT_THT:TO-92_Wide","1",""
"R1","5.1K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R2,R5","18","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2",""
"R3,R4","1K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2",""
"RV1","2.5K","~","Potentiometer_THT:Potentiometer_Vishay_T73YP_Vertical","1",""
"RV2","10K","~","Potentiometer_THT:Potentiometer_Vishay_T73YP_Vertical","1",""
"U1","4002","http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4000bms-01bms-02bms-25bms.pdf","Package_DIP:DIP-14_W7.62mm","1",""
"U2","4069","http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4069ubms.pdf","Package_DIP:DIP-14_W7.62mm","1",""
"U3","4011","http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4011bms-12bms-23bms.pdf","Package_DIP:DIP-14_W7.62mm","1",""
"U4","CDP1863","","Package_DIP:DIP-16_W7.62mm","1",""
